MEASURE,SEX,AGE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS,UNIT,UNIT_MULT
QLF15C03,M,Y40-64,2004Q3,7050.6,A,F,NR,3
QLF15C03,F,Y40-64,2004Q3,6347.5,A,F,NR,3
QLF15C03,T,Y45-49,2004Q3,3653.8,A,F,NR,3
QLF15C03,M,Y45-49,2004Q3,1908.2,A,F,NR,3
QLF15C03,F,Y45-49,2004Q3,1745.6,A,F,NR,3
QLF15C03,T,Y50-54,2004Q3,3384.6,A,F,NR,3
QLF15C03,M,Y50-54,2004Q3,1803.8,A,F,NR,3
QLF15C03,F,Y50-54,2004Q3,1580.8,A,F,NR,3
QLF15C03,T,Y50-59,2004Q3,5561.0,A,F,NR,3
QLF15C03,M,Y50-59,2004Q3,2968.3,A,F,NR,3
QLF15C03,F,Y50-59,2004Q3,2592.8,A,F,NR,3
QLF15C03,T,Y50-64,2004Q3,5935.9,A,F,NR,3
QLF15C03,M,Y50-64,2004Q3,3154.8,A,F,NR,3
QLF15C03,F,Y50-64,2004Q3,2781.1,A,F,NR,3
QLF15C03,T,Y50-74,2004Q3,6037.3,A,F,NR,3
QLF15C03,M,Y50-74,2004Q3,3215.1,A,F,NR,3
QLF15C03,F,Y50-74,2004Q3,2822.2,A,F,NR,3
QLF15C03,T,Y55-59,2004Q3,2176.5,A,F,NR,3
QLF15C03,M,Y55-59,2004Q3,1164.5,A,F,NR,3
QLF15C03,F,Y55-59,2004Q3,1012.0,A,F,NR,3
QLF15C03,T,Y55-64,2004Q3,2551.3,A,F,NR,3
QLF15C03,M,Y55-64,2004Q3,1351.0,A,F,NR,3
QLF15C03,F,Y55-64,2004Q3,1200.3,A,F,NR,3
QLF15C03,T,Y60-64,2004Q3,374.8,A,F,NR,3
QLF15C03,M,Y60-64,2004Q3,186.5,A,F,NR,3
QLF15C03,F,Y60-64,2004Q3,188.3,A,F,NR,3
QLF15C03,T,Y65-69,2004Q3,82.1,A,F,NR,3
QLF15C03,M,Y65-69,2004Q3,49.2,U,F,NR,3
QLF15C03,T,Y65-74,2004Q3,101.4,A,F,NR,3
QLF15C03,M,Y65-74,2004Q3,60.4,U,F,NR,3
QLF15C03,F,Y65-74,2004Q3,41.1,U,F,NR,3
QLF15C03,T,Y_GE15,2004Q3,27249.5,A,F,NR,3
